Code,Disease
0029U,trgt metab seq advrs Rx alys
0030U ,Rx metab warf trgt seq alys
0030U ,Rx metab
0030U ,metab warf
0030U ,warf trgt
0030U ,trgt seq
0030U ,seq alys
0030U ,Rx trgt metab warf seq alys
0031U,Cypia2 gene
0031U,gene Cypia2
0032U,Comt gene
0032U,gene Comt
0033U,Htr2a htr2c genes
0033U,Htr2a htr2c
0033U,htr2c genes
0033U,Htr2a genes htr2c
0034U,Tpmt nudt15 genes
0034U,Tpmt nudt15
0034U,nudt15 genes
0034U,nudt15 genes Tpmt
0035U,Neuro csf prion prtn qual
0035U,Neuro csf
0035U,csf prion
0035U,prion prtn
0035U,prtn qual
0035U,Neuro csf prtn prion qual
0036U,Xome tum  nml spec seq alys
0036U,Xome tum
0036U,tum nml
0036U,nml spec
0036U,spec seq
0036U,seq alys
0036U,alys nml seq tum Xome spec
0037U,Trgt gen seq rgt gen seq dna 324 genes
0037U,Trgt gen
0037U,gen seq
0037U,seq rgt
0037U,rgt gen
0037U,gen seq
0037U,seq dna
0037U,dna 324
0037U,324 genes
0037U,seq gen rgt 324 Trgt genes dna gen seq
0038U ,Vitamin d srm microsamp quan
0038U ,Vitamin d
0038U ,d srm
0038U ,srm microsamp
0038U ,microsamp quan
0038U ,Vitamin microsamp d quan srm
0039U,Dna antb 2strand hi avidity
0039U,Dna antb
0039U,antb 2strand
0039U,2strand hi
0039U,hi avidity
0039U,Dna 2strand hi antb avidity
0040U ,Bcr/abl1 gene major bp quan
0040U ,Bcr/abl1 gene
0040U ,gene major
0040U ,major bp
0040U ,bp quan
0040U ,major quan gene bp Bcr/abl1
0041U,B brgdrferi antb 5 prtn igm
0041U,B brgdrferi
0041U,brgdrferi antb
0041U,antb 5
0041U,5 prtn
0041U,prtn igm
0041U,5 igm antb prtn B brgdrferi
0042U,B brgdrferi antb 12 prtn igg
0042U,B brgdrferi
0042U,brgdrferi antb
0042U,antb 12
0042U,12 prtn
0042U,prtn igg
0042U,B igg 12 brgdrferi prtn antb
0043U,Tbrg b grp antb 4 prtn igm
0043U,Tbrg b
0043U,b grp
0043U,grp antb
0043U,antb 4
0043U,4 prtn
0043U,prtn igm
0043U,prtn 4 igm grp antb b Tbrg
0044U ,Tbrf b grp antb 4 prtn igg
0044U ,Tbrf b
0044U ,b grp
0044U ,grp antb
0044U ,antb 4
0044U ,4 prtn
0044U ,prtn igg
0044U ,prtn Tbrf b grp antb 4 igg
0045U,Onc brst dux carc is 12 gene
0045U,Onc brst
0045U,brst dux
0045U,dux carc
0045U,carc is
0045U,is 12
0045U,12 gene
0045U,gene 12 Onc is brst dux carc
0046U,Flt3 genie itd variants quan
0046U,Flt3 genie
0046U,genie itd
0046U,itd variants
0046U,variants quan
0046U,variants Flt3 genie itd quan
0047U ,Onc prst8 mrna 17 gene alg
0047U ,Onc prst8
0047U ,prst8 mrna
0047U ,mrna 17
0047U ,17 gene
0047U ,gene alg
0047U ,prst8 Onc gene alg 17 mrna
0048U ,Onc sld org neo dna 468 gene
0048U ,Onc sld
0048U ,sld org
0048U ,org neo
0048U ,neo dna
0048U ,dna 468
0048U ,468 gene
0048U ,org neo Onc sld 468 gene dna
0049U,Npm1 gene analysis quan
0049U,Npm1 gene
0049U,gene analysis
0049U,analysis quan
0049U,quan gene analysis Npm1
0050U,Trgt gen seq dna 194 genes
0050U,Trgt gen
0050U,gen seq
0050U,seq dna
0050U,dna 194
0050U,194 genes
0050U,gen seq genes dna Trgt 194
0051U ,Rx mntr lc-ms/ms ur 31 pnl
0051U ,Rx mntr
0051U ,mntr lc-ms/ms
0051U ,lc-ms/ms ur
0051U ,ur 31
0051U ,31 pnl
0051U ,lc-ms/ms pnl 31 ur Rx mntr
0052U,Lpoprtn bld w/5 maj classes
0052U,Lpoprtn bld
0052U,bld w/5
0052U,w/5 maj
0052U,maj classes
0052U,classes w/5 maj bld Lpoprtn
0053U,Onc prst8 ca fish alys 4 gen
0053U,Onc prst8
0053U,prst8 ca
0053U,ca fish
0053U,fish alys
0053U,alys 4
0053U,4 gen
0053U,alys fish 4 prst8 Onc ca gen
0054U,Rx mntr 14 drugs  sbsts
0054U,Rx mntr
0054U,mntr 14
0054U,14 drugs
0054U,drugs sbsts
0054U,sbsts 14 Rx drugs mntr
0055U,Card hrt trnspl 96 dna seq
0055U,Card hrt
0055U,hrt trnspl
0055U,trnspl 96
0055U,96 dna
0055U,dna seq
0055U,hrt seq dna 96 Card trnspl
0058U,Onc merkel cll carc srm quan
0058U,Onc merkel
0058U,merkel cll
0058U,cll carc
0058U,carc srm
0058U,srm quan
0058U,cll merkel carc Onc srm quan
0059U,Onc merkel cll carc srm/-
0059U,Onc merkel
0059U,merkel cll
0059U,cll carc
0059U,carc srm/-
0059U,cll Onc carc merkel srm/-
0060U ,Twn zyg gen seq alys chrms2
0060U ,Twn zyg
0060U ,zyg gen
0060U ,gen seq
0060U ,seq alys
0060U ,alys chrms2
0060U ,alys seq gen zyg Twn chrms2
0061U,Tc meas 5 bmrk sfdi m-s alys
0061U,Tc meas
0061U,meas 5
0061U,5 bmrk
0061U,bmrk sfdi
0061U,sfdi m-s
0061U,m-s alys
0061U,bmrk m-s alys Tc sfdi 5 meas
0153U,Onc breast mrna 101 genes 
0153U,Onc breast
0153U,breast mrna
0153U,mrna 101
0153U,101 genes
0153U,Onc genes 101 breast mrna
0154U ,Onc urthl ca rna fgfr3 gene
0154U ,Onc urthl
0154U ,urthl ca
0154U ,ca rna
0154U ,rna fgfr3
0154U ,fgfr3 gene
0154U ,rna fgfr3 gene ca urthl Onc
0155U,Onc brst ca dna pik3ca gene
0155U,Onc brst
0155U,brst ca
0155U,ca dna
0155U,dna pik3ca
0155U,pik3ca gene
0155U,Onc gene brst dna pik3ca ca
0172U,Onc sld tum alys brca1 brca2
0172U,Onc sld
0172U,sld tum
0172U,tum alys
0172U,alys brca1
0172U,brca1 brca2
0172U,Onc sld brca2 alys brca1 tum
0174U,Onc solid tumor 30 prtn trgt
0174U,Onc solid
0174U,solid tumor
0174U,tumor 30
0174U,30 prtn
0174U,prtn trgt
0174U,trgt tumor 30 Onc prtn solid
0177U,Onc brst ca dna pik3ca 11
0177U,Onc brst
0177U,brst ca
0177U,ca dna
0177U,dna pik3ca
0177U,pik3ca 11
0177U,dna ca 11 brst Onc pik3ca
0179U,Onc nonsm cll lng ca alys 23
0179U,Onc nonsm
0179U,nonsm cll
0179U,cll lng
0179U,lng ca
0179U,ca alys
0179U,alys 23
0179U,lng cll 23 Onc alys ca nonsm
0202U,Nfct ds 22 trgt sars-cov-2
0202U,Nfct ds
0202U,ds 22
0202U,22 trgt
0202U,trgt sars-cov-2
0202U,ds trgt Nfct sars-cov-2 22
0204U,Onc thyr mrna xprsn alys 593
0204U,Onc thyr
0204U,thyr mrna
0204U,mrna xprsn
0204U,xprsn alys
0204U,alys 593
0204U,mrna Onc 593 thyr xprsn alys
0223U,Nfct ds 22 trgt sars-cov-2 
0223U,Nfct ds
0223U,ds 22
0223U,22 trgt
0223U,trgt sars-cov-2
0223U,Nfct trgt 22 ds sars-cov-2
0224U,Antibody sars-cov-2 titer(s)
0224U,Antibody sars-cov-2
0224U,sars-cov-2 titer(s)
0225U,Nfct ds dnarna 21 sarscov2
0225U,Nfct ds
0225U,ds dnarna
0225U,dnarna 21
0225U,21 sarscov2
0225U,sarscov2 21 dnarna Nfct ds
0226U,Svnt sarscov2 elisa plsm srm
0226U,Svnt sarscov2
0226U,sarscov2 elisa
0226U,elisa plsm
0226U,plsm srm
0226U,plsm srm Svnt elisa sarscov2
0229U  ,Bcat1ikzf1 prmtr mthln alys
0229U  ,Bcat1ikzf1 prmtr
0229U  ,prmtr mthln
0229U  ,mthln alys
0229U  ,alys Bcat1ikzf1 prmtr mthln
0230U  ,Ar full sequence analysis
0230U  ,Ar full
0230U  ,full sequence
0230U  ,sequence analysis
0230U  ,Ar sequence full analysis
0231U,Cacna1a full gene analysis
0231U,Cacna1a full
0231U,full gene
0231U,gene analysis
0231U,gene analysis full Cacna1a
0232U,Cstb full gene analysis
0232U,Cstb full
0232U,full gene
0232U,gene analysis
0232U,analysis Cstb gene full
0233U ,Fxn gene analysis
0233U ,Fxn gene
0233U ,gene analysis
0233U ,Fxn analysis gene
0234U,Mecp2 full gene analysis
0234U,Mecp2 full
0234U,full gene
0234U,gene analysis
0234U,full gene Mecp2 analysis
0235U,Pten full gene analysis
0235U,Pten full
0235U,full gene
0235U,gene analysis
0235U,gene analysis Pten full
0236U,Smn1smn2 full gene analysis
0236U,Smn1smn2 full
0236U,full gene
0236U,gene analysis
0236U,Smn1smn2 gene analysis full
0237U,Car ion chnlpthy gen seq pnl
0237U,Car ion
0237U,ion chnlpthy
0237U,chnlpthy gen
0237U,gen seq
0237U,seq pnl
0237U,chnlpthy gen pnl Car ion seq
0238U,Onc lnch syn gen dna seq aly
0238U,Onc lnch
0238U,lnch syn
0238U,syn gen
0238U,gen dna
0238U,dna seq
0238U,seq aly
0238U,gen aly seq lnch Onc syn dna
0239U,Trgt gen seq alys pnl 311
0239U,Trgt gen
0239U,gen seq
0239U,seq alys
0239U,alys pnl
0239U,pnl 311
0239U,gen alys 311 seq pnl Trgt
0240U,Nfct ds vir resp rna 3 trgt
0240U,Nfct ds
0240U,ds vir
0240U,vir resp
0240U,resp rna
0240U,rna 3
0240U,3 trgt
0240U,resp Nfct trgt 3 ds vir rna
0241U,Nfct ds vir resp rna 4 trgt
0241U,Nfct ds
0241U,ds vir
0241U,vir resp
0241U,resp rna
0241U,rna 4
0241U,4 trgt
0241U,4 Nfct ds resp rna vir trgt
0242U,Trgt gen seq alys pnl 55-74
0242U,Trgt gen
0242U,gen seq
0242U,seq alys
0242U,alys pnl
0242U,pnl 55-74
0242U,seq Trgt alys 55-74 pnl gen
0244U ,Onc solid orgn dna 257 genes
0244U ,Onc solid
0244U ,solid orgn
0244U ,orgn dna
0244U ,dna 257
0244U ,257 genes
0244U ,genes 257 Onc dna orgn solid
0245U,Onc thyr mut alys 10 gen37
0245U,Onc thyr
0245U,thyr mut
0245U,mut alys
0245U,alys 10
0245U,10 gen37
0245U,mut alys 10 Onc gen37 thyr
0246U,Rbc dna gnotyp 16 bld groups
0246U,Rbc dna
0246U,dna gnotyp
0246U,gnotyp 16
0246U,16 bld
0246U,bld groups
0246U,groups bld Rbc dna gnotyp 16
0250U,Onc sld org neo dna 505 gene
0250U,Onc sld
0250U,sld org
0250U,org neo
0250U,neo dna
0250U,dna 505
0250U,505 gene
0250U,gene dna neo Onc org 505 sld
0258U,Ai psor mrna 50-100 gen alg
0258U,Ai psor
0258U,psor mrna
0258U,mrna 50-100
0258U,50-100 gen
0258U,gen alg
0258U,50-100 Ai psor mrna gen alg
0260U,Rare ds id opt genome mapg
0260U,Rare ds
0260U,ds id
0260U,id opt
0260U,opt genome
0260U,genome mapg
0260U,genome ds id Rare mapg opt
0261U,Onc clrct ca img alys w/ai
0261U,Onc clrct
0261U,clrct ca
0261U,ca img
0261U,img alys
0261U,alys w/ai
0261U,img alys ca Onc w/ai clrct
0262U ,Onc sld tum rtpcr 7 gen
0262U ,Onc sld
0262U ,sld tum
0262U ,tum rtpcr
0262U ,rtpcr 7
0262U ,7 gen
0262U ,tum gen rtpcr sld Onc 7
0264U,Rare ds id opt genome mapg
0264U,Rare ds
0264U,ds id
0264U,id opt
0264U,opt genome
0264U,genome mapg
0264U,opt Rare ds mapg id genome
0265U ,Rar do whl gnmtcdrl dna als
0265U ,Rar do
0265U ,do whl
0265U ,whl gnmtcdrl
0265U ,gnmtcdrl dna
0265U ,dna als
0265U ,als gnmtcdrl do whl Rar dna
0266U,Unxpl cnst hrtbl do gn xprsn
0266U,Unxpl cnst
0266U,cnst hrtbl
0266U,hrtbl do
0266U,do gn
0266U,gn xprsn
0266U,cnst xprsn Unxpl hrtbl do gn
0267U,Rare do id opt gen mapgseq
0267U,Rare do
0267U,do id
0267U,id opt
0267U,opt gen
0267U,gen mapgseq
0267U,opt mapgseq do Rare id gen
0268U ,Hem ahus gen seq alys 15 gen
0268U ,Hem ahus
0268U ,ahus gen
0268U ,gen seq
0268U ,seq alys
0268U ,alys 15
0268U ,15 gen
0268U ,seq ahus gen Hem alys 15 gen
0269U ,Hem aut dm cgen trmbctpna 14
0269U ,Hem aut
0269U ,aut dm
0269U ,dm cgen
0269U ,cgen trmbctpna
0269U ,trmbctpna 14
0269U ,dm Hem 14 aut cgen trmbctpna
0270U,Hem cgen coagj do 20 genes
0270U,Hem cgen
0270U,cgen coagj
0270U,coagj do
0270U,do 20
0270U,20 genes
0270U,20 Hem coagj genes do cgen
0271U,Hem cgen neutropenia 23 gen
0271U,Hem cgen
0271U,cgen neutropenia
0271U,neutropenia 23
0271U,23 gen
0271U,neutropenia cgen Hem gen 23
0272U,Hem genetic bld do 51 genes
0272U,Hem genetic
0272U,genetic bld
0272U,bld do
0272U,do 51
0272U,51 genes
0272U,genes genetic Hem 51 bld do
0273U,Hem gen hyprfibrnlysis 8 gen
0273U,Hem gen
0273U,gen hyprfibrnlysis
0273U,hyprfibrnlysis 8
0273U,8 gen
0273U,8 Hem hyprfibrnlysis gen gen
0274U,Hem gen pltlt do 43 genes
0274U,Hem gen
0274U,gen pltlt
0274U,pltlt do
0274U,do 43
0274U,43 genes
0274U,genes gen pltlt Hem do 43
0276U,Hem inh thrombocytopenia 42
0276U,Hem inh
0276U,inh thrombocytopenia
0276U,thrombocytopenia 42
0276U,inh Hem 42 thrombocytopenia
0277U ,Hem gen pltlt funcj do 31
0277U ,Hem gen
0277U ,gen pltlt
0277U ,pltlt funcj
0277U ,funcj do
0277U ,do 31
0277U ,Hem funcj pltlt 31 do gen
0278U,Hem gen thrombosis 12 genes
0278U,Hem gen
0278U,gen thrombosis
0278U,thrombosis 12
0278U,12 genes
0278U,Hem 12 genes gen thrombosis
0282U,Rbc dna gntyp 12 bld grp gen
0282U,Rbc dna
0282U,dna gntyp
0282U,gntyp 12
0282U,12 bld
0282U,bld grp
0282U,grp gen
0282U,grp gntyp bld Rbc 12 gen dna
0287U,Onc thyr dnamrna 112 genes
0287U,Onc thyr
0287U,thyr dnamrna
0287U,dnamrna 112
0287U,112 genes
0287U,genes 112 dnamrna Onc thyr
0288U,Onc lung mrna quan pcr 113
0288U,Onc lung
0288U,lung mrna
0288U,mrna quan
0288U,quan pcr
0288U,pcr 113
0288U,mrna 113 pcr lung quan Onc
0305U,Hem rbc fncltydfrm shr strs
0305U,Hem rbc
0305U,rbc fncltydfrm
0305U,fncltydfrm shr
0305U,shr strs
0305U,strs shr rbc Hem fncltydfrm
0306U,Onc mrd nxt-gnrj alys 1st
0306U,Onc mrd
0306U,mrd nxt-gnrj
0306U,nxt-gnrj alys
0306U,alys 1st
0306U,Onc nxt-gnrj alys mrd 1st
0307U,Onc mrd nxt-gnrj alys sbsq
0307U,Onc mrd
0307U,mrd nxt-gnrj
0307U,nxt-gnrj alys
0307U,alys sbsq
0307U,Onc mrd sbsq alys nxt-gnrj
0313U,Onc pncrs dnamrna seq 74
0313U,Onc pncrs
0313U,pncrs dnamrna
0313U,dnamrna seq
0313U,seq 74
0313U,seq dnamrna pncrs 74 Onc
0314U,Onc cutan mlnma mrna 35 gene
0314U,Onc cutan
0314U,cutan mlnma
0314U,mlnma mrna
0314U,mrna 35
0314U,35 gene
0314U,35 Onc mlnma cutan gene mrna
0315U,Onc cutan sq cll ca mrna 40
0315U,Onc cutan
0315U,cutan sq
0315U,sq cll
0315U,cll ca
0315U,ca mrna
0315U,mrna 40
0315U,cll Onc cutan sq mrna ca 40
0317U,Onc lung ca 4-prb fish assay
0317U,Onc lung
0317U,lung ca
0317U,ca 4-prb
0317U,4-prb fish
0317U,fish assay
0317U,4-prb Onc ca fish lung assay
0318U,Ped whl gen mthyltn alys 50
0318U,Ped whl
0318U,whl gen
0318U,gen mthyltn
0318U,mthyltn alys
0318U,alys 50
0318U,Ped 50 alys mthyltn whl gen
0332U,Onc pan tum gen prflg 8 dna
0332U,Onc pan
0332U,pan tum
0332U,tum gen
0332U,gen prflg
0332U,prflg 8
0332U,8 dna
0332U,pan dna 8 prflg gen tum Onc
0334U,Onc sld orgn tgsa dna 84/
0334U,Onc sld
0334U,sld orgn
0334U,orgn tgsa
0334U,tgsa dna
0334U,dna 84/
0334U,sld 84/ dna tgsa Onc orgn
0335U,Rare ds whl gen seq feta
0335U,Rare ds
0335U,ds whl
0335U,whl gen
0335U,gen seq
0335U,seq feta
0335U,feta Rare ds seq whl gen
0336U,Rare ds whl gen seq bld/slv
0336U,Rare ds
0336U,ds whl
0336U,whl gen
0336U,gen seq
0336U,seq bld/slv
0336U,bld/slv gen Rare ds seq whl
36415,Routine venipuncture
36415,venipuncture Routine
78110,Plasma volume single
78110,Plasma volume
78110,volume single
78110,single volume Plasma
78111,Plasma volume multiple
78111,Plasma volume
78111,volume multiple
78111,volume multiple Plasma
78120,Red cell mass single
78120,Red cell
78120,cell mass
78120,mass single
78120,mass single cell Red
78121,Red cell mass multiple
78121,Red cell
78121,cell mass
78121,mass multiple
78121,cell multiple Red mass
78122,Blood volume
78130,Red cell survival study
78130,Red cell
78130,cell survival
78130,survival study
78130,study survival Red cell
78191,Platelet survival
78191,survival Platelet
78267,Breath tst attain/anal c-14
78267,Breath tst
78267,tst attain/anal
78267,attain/anal c-14
78267,tst Breath attain/anal c-14
78268,Breath test analysis c-14
78268,Breath test
78268,test analysis
78268,analysis c-14
78268,c-14 Breath test analysis
78725,Kidney function study
78725,Kidney function
78725,function study
78725,study Kidney function
C9803,Hopd covid-19 spec collect
C9803,Hopd covid-19
C9803,covid-19 spec
C9803,spec collect
C9803,collect spec covid-19 Hopd
G0027,Semen analysis 
G0027,Semen analysis
G0027,analysis Semen
G0103,Psa screening
G0103,screening Psa
G0123,Screen cerv/vag thin layer
G0123,Screen cerv/vag
G0123,cerv/vag thin
G0123,thin layer
G0123,thin cerv/vag layer Screen
G0124,Screen c/v thin layer by MD
G0124,Screen c/v
G0124,c/v thin
G0124,thin layer
G0124,layer by
G0124,by MD
G0124,Screen MD layer c/v by thin
G0141,"Scr c/v cyto,autosys and md"
G0141,Scr c/v
G0141,"c/v cyto,autosys"
G0141,"cyto,autosys and"
G0141,and md
G0141,"Scr cyto,autosys and md c/v"
G0143,"Scr c/v cyto,thinlayer,rescr"
G0143,Scr c/v
G0143,"c/v cyto,thinlayer,rescr"
G0143,"cyto,thinlayer,rescr Scr c/v"
G0144,"Scr c/v cyto,thinlayer,rescr"
G0144,Scr c/v
G0144,"c/v cyto,thinlayer,rescr"
G0145 ,"Scr c/v cyto,thinlayer,rescr"
G0145 ,Scr c/v
G0145 ,"c/v cyto,thinlayer,rescr"
G0147,"Scr c/v cyto, automated sys"
G0147,Scr c/v
G0147,"c/v cyto,"
G0147,"cyto, automated"
G0147,automated sys
G0147,"automated c/v Scr cyto, sys"
G0148,"Scr c/v cyto, autosys, rescr"
G0148,Scr c/v
G0148,"c/v cyto,"
G0148,"cyto, autosys,"
G0148,"autosys, rescr"
G0148,"rescr c/v Scr autosys, cyto,"
G0306,CBC/diffwbc w/o platelet
G0306,CBC/diffwbc w/o
G0306,w/o platelet
G0307,Cbc without platelet 
G0307,Cbc without
G0307,without platelet
G0307,Cbc without platelet
G0328,Fecal blood scrn immunoassay
G0328,Fecal blood
G0328,blood scrn
G0328,scrn immunoassay
G0328,immunoassay Fecal scrn blood
G0416,"Prostate biopsy, any mthd"
G0416,"Prostate biopsy,"
G0416,"biopsy, any"
G0416,any mthd
G0416,"mthd Prostate biopsy, any"
G0432,Eia hiv-1/hiv-2 screen
G0432,Eia hiv-1/hiv-2
G0432,hiv-1/hiv-2 screen
G0432,hiv-1/hiv-2 Eia screen
G0433,Elisa hiv-1/hiv-2 screen
G0433,Elisa hiv-1/hiv-2
G0433,hiv-1/hiv-2 screen
G0433,screen hiv-1/hiv-2 Elisa
G0435,Oral hiv-1/hiv-2 screen
G0435,Oral hiv-1/hiv-2
G0435,hiv-1/hiv-2 screen
G0435,hiv-1/hiv-2 screen Oral
G0475 ,Hiv combination assay 
G0475 ,Hiv combination
G0475 ,combination assay
G0475 ,assay combination Hiv
G0476,Hpv combo assay ca screen
G0476,Hpv combo
G0476,combo assay
G0476,assay ca
G0476,ca screen
G0476,ca assay screen combo Hpv
G2023,Specimen collect covid-19
G2023,Specimen collect
G2023,collect covid-19
G2023,covid-19 collect Specimen
G2024,Spec coll snf/lab covid-19
G2024,Spec coll
G2024,coll snf/lab
G2024,snf/lab covid-19
G2024,Spec covid-19 snf/lab coll
G9143,Warfarin respon genetic test
G9143,Warfarin respon
G9143,respon genetic
G9143,genetic test
G9143,test respon genetic Warfarin
P2028,Cephalin floculation test
P2028,Cephalin floculation
P2028,floculation test
P2029,Congo red blood test
P2029,Congo red
P2029,red blood
P2029,blood test
P2029,test blood Congo red
P2033,Blood thymol turbidity 
P2033,Blood thymol
P2033,thymol turbidity
P2033,Blood thymol turbidity
P2038,Blood mucoprotein
P3000,Screen pap by tech w md supv
P3000,Screen pap
P3000,pap by
P3000,by tech
P3000,tech w
P3000,w md
P3000,md supv
P3000,by md pap supv Screen w tech
P3001,Screening pap smear by phys
P3001,Screening pap
P3001,pap smear
P3001,smear by
P3001,by phys
P3001,Screening pap by smear phys
P9612,Catheterize for urine spec
P9612,Catheterize for
P9612,for urine
P9612,urine spec
P9612,for urine spec Catheterize
P9615,Urine specimen collect mult 
P9615,Urine specimen
P9615,specimen collect
P9615,collect mult
P9615,Urine mult collect specimen
Q0111,Wet mounts/ w preparations
Q0111,Wet mounts/
Q0111,mounts/ w
Q0111,w preparations
Q0111,Wet mounts/ preparations w
Q0112,Potassium hydroxide preps
Q0112,Potassium hydroxide
Q0112,hydroxide preps
Q0112,preps hydroxide Potassium
Q0113,Pinworm examinations
Q0114,Fern test
Q0114,test Fern
Q0115,Post-coital mucous exam
Q0115,Post-coital mucous
Q0115,mucous exam
Q0115,mucous Post-coital exam
U0001,2019-ncov diagnostic p
U0001,2019-ncov diagnostic
U0001,diagnostic p
U0001,diagnostic 2019-ncov p
U0002,Covid-19 lab test non-cdc
U0002,Covid-19 lab
U0002,lab test
U0002,test non-cdc
U0002,Covid-19 lab non-cdc test
U0003 ,Cov-19 amp prb hgh thruput
U0003 ,Cov-19 amp
U0003 ,amp prb
U0003 ,prb hgh
U0003 ,hgh thruput
U0003 ,prb amp thruput Cov-19 hgh
U0004,Cov-19 test non-cdc hgh thru
U0004,Cov-19 test
U0004,test non-cdc
U0004,non-cdc hgh
U0004,hgh thru
U0004,test Cov-19 hgh non-cdc thru
U0005,Infec agen detec ampli probe
U0005,Infec agen
U0005,agen detec
U0005,detec ampli
U0005,ampli probe
U0005,detec ampli Infec agen probe
90901,Biofeedback train any meth
90901,Biofeedback train
90901,train any
90901,any meth
90901,meth train Biofeedback any
90912,Bfb training 1st 15 min
90912,Bfb training
90912,training 1st
90912,1st 15
90912,15 min
90912,min training Bfb 1st 15
90913,Bfb training ea addl 15 min
90913,Bfb training
90913,training ea
90913,ea addl
90913,addl 15
90913,15 min
90913,addl min 15 training Bfb ea
92507,Speech/hearing therapy
92508,Speech/hearing therapy
92520,Laryngeal function studies
92520,Laryngeal function
92520,function studies
92520,function Laryngeal studies
92521,Evaluation of speech fluency
92521,Evaluation of
92521,of speech
92521,speech fluency
92521,Evaluation speech of fluency
92522,Evaluate speech production
92522,Evaluate speech
92522,speech production
92522,speech production Evaluate
92523,Speech sound lang comprehen
92523,Speech sound
92523,sound lang
92523,lang comprehen
92524,Behavral qualit analys voice
92524,Behavral qualit
92524,qualit analys
92524,analys voice
92524,analys Behavral voice qualit
92526,Oral function therapy
92526,Oral function
92526,function therapy
92526,therapy Oral function
92597,Oral speech device eval
92597,Oral speech
92597,speech device
92597,device eval
